classifier,features,f1,f5
NaiveBayes,5,0.599435238,0.572903999
NaiveBayes,11,0.685110066,0.667761059
NaiveBayes,17,0.650140322,0.618716787
NaiveBayes,24,0.640259163,0.603174642
NaiveBayes,27,0.647543631,0.60872681
NaiveBayes,33,0.753407559,0.737934332
NaiveBayes,40,0.753803119,0.735520631
NaiveBayes,44,0.812542877,0.815949117
NaiveBayes,49,0.840351546,0.847492115
NaiveBayes,55,0.871333182,0.876617181
NaiveBayes,61,0.903137358,0.90678726
NaiveBayes,69,0.896678114,0.899566729
NaiveBayes,72,0.899412234,0.901718089
NaiveBayes,79,0.889339896,0.888304202
NaiveBayes,85,0.914965699,0.918058461
NaiveBayes,88,0.910700067,0.916576661
NaiveBayes,94,0.931739898,0.93870571
NaiveBayes,99,0.961418983,0.963380992
NaiveBayes,105,0.963498147,0.966217348
NaiveBayes,110,0.969481465,0.971741449
NaiveBayes,116,0.967605929,0.967883985
NaiveBayes,121,0.960417177,0.958817477
NaiveBayes,127,0.962043582,0.959558398
NaiveBayes,132,0.966886925,0.963901016
NaiveBayes,138,0.95959416,0.955679427
NaiveBayes,144,0.961534264,0.957430635
NaiveBayes,149,0.963542174,0.959778523
NaiveBayes,155,0.948616284,0.947645852
NaiveBayes,160,0.938210887,0.939283537
NaiveBayes,166,0.937150189,0.938085643
NaiveBayes,171,0.929518999,0.931744518
NaiveBayes,178,0.921375551,0.92735991
NaiveBayes,184,0.916277456,0.924567815
NaiveBayes,188,0.912935972,0.920563805
NaiveBayes,193,0.901582896,0.911894994
NaiveBayes,202,0.899081802,0.910673299
NaiveBayes,205,0.90341196,0.913811735
NaiveBayes,210,0.895346443,0.907876525
NaiveBayes,217,0.895528097,0.909410323
NaiveBayes,221,0.881696796,0.895496311
NaiveBayes,229,0.882248496,0.896796036
NaiveBayes,233,0.881381935,0.896298041
NaiveBayes,238,0.879130943,0.894055928
NaiveBayes,247,0.879826567,0.894832447
NaiveBayes,249,0.881632358,0.897197327
NaiveBayes,258,0.878647123,0.895056725
NaiveBayes,260,0.868077714,0.886177726
NaiveBayes,266,0.868077714,0.886177726
NaiveBayes,271,0.863674966,0.880511975
NaiveBayes,277,0.862849444,0.880246788
kNN,5,0.63902714,0.640755806
kNN,11,0.653682226,0.65653875
kNN,17,0.610721074,0.590557503
kNN,24,0.62639131,0.599401308
kNN,27,0.566952877,0.531028839
kNN,33,0.638288945,0.598021121
kNN,40,0.579176082,0.529092337
kNN,44,0.568435216,0.519190523
kNN,49,0.63212803,0.592086251
kNN,55,0.548627871,0.494167745
kNN,61,0.54576546,0.490918429
kNN,69,0.555862434,0.497716789
kNN,72,0.558134456,0.500373877
kNN,79,0.558134456,0.500373877
kNN,85,0.558134456,0.500373877
kNN,88,0.561014741,0.503631493
kNN,94,0.561014741,0.503631493
kNN,99,0.573127664,0.517492972
kNN,105,0.575878646,0.520811161
kNN,110,0.575878646,0.520811161
kNN,116,0.575878646,0.520811161
kNN,121,0.573127664,0.517492972
kNN,127,0.573127664,0.517492972
kNN,132,0.573127664,0.517492972
kNN,138,0.577727496,0.522755347
kNN,144,0.576959554,0.522226863
kNN,149,0.576959554,0.522226863
kNN,155,0.576959554,0.522226863
kNN,160,0.577971725,0.523075348
kNN,166,0.591280752,0.538596878
kNN,171,0.591280752,0.538596878
kNN,178,0.591280752,0.538596878
kNN,184,0.591280752,0.538596878
kNN,188,0.590056031,0.537261875
kNN,193,0.591280752,0.538596878
kNN,202,0.591287583,0.538605947
kNN,205,0.589773863,0.537177627
kNN,210,0.621648354,0.580306642
kNN,217,0.622899712,0.58365165
kNN,221,0.622899712,0.58365165
kNN,229,0.614510717,0.574838689
kNN,233,0.614265006,0.575487529
kNN,238,0.622974871,0.588790677
kNN,247,0.660512049,0.641353892
kNN,249,0.650005393,0.62827778
kNN,258,0.727410185,0.720398431
kNN,260,0.736952633,0.732954337
kNN,266,0.777226543,0.788003919
kNN,271,0.759448378,0.769457215
kNN,277,0.728803727,0.732786013
Ridge,5,0.697418837,0.720735971
Ridge,11,0.695737751,0.719899812
Ridge,17,0.705007806,0.724196713
Ridge,24,0.739065105,0.754919153
Ridge,27,0.74204341,0.755756348
Ridge,33,0.783923521,0.801096937
Ridge,40,0.787822666,0.80401475
Ridge,44,0.800590666,0.819703267
Ridge,49,0.790027135,0.80945309
Ridge,55,0.810016329,0.828227634
Ridge,61,0.812424149,0.829371717
Ridge,69,0.822023112,0.837821462
Ridge,72,0.829480002,0.844377454
Ridge,79,0.827555243,0.841736697
Ridge,85,0.839260735,0.851612181
Ridge,88,0.83981813,0.853461211
Ridge,94,0.817675298,0.83834268
Ridge,99,0.831749749,0.859240621
Ridge,105,0.861057666,0.893202625
Ridge,110,0.872106479,0.901459323
Ridge,116,0.862270269,0.893565448
Ridge,121,0.850551004,0.883563727
Ridge,127,0.857500476,0.88726533
Ridge,132,0.850440888,0.882246984
Ridge,138,0.850979402,0.88213889
Ridge,144,0.852113687,0.883331772
Ridge,149,0.850869849,0.882226037
Ridge,155,0.848942581,0.881396164
Ridge,160,0.850526648,0.88362607
Ridge,166,0.851003457,0.883944853
Ridge,171,0.850865345,0.884752227
Ridge,178,0.847644192,0.882522158
Ridge,184,0.84360959,0.878691707
Ridge,188,0.840513127,0.875997276
Ridge,193,0.832824887,0.870523015
Ridge,202,0.829420475,0.868074005
Ridge,205,0.828595529,0.867712346
Ridge,210,0.829522493,0.868252819
Ridge,217,0.827769169,0.867349646
Ridge,221,0.82679558,0.866093558
Ridge,229,0.825645318,0.864980884
Ridge,233,0.825645318,0.864980884
Ridge,238,0.823712556,0.864131204
Ridge,247,0.821093455,0.862353674
Ridge,249,0.823712556,0.864131204
Ridge,258,0.819504569,0.860651796
Ridge,260,0.820575751,0.861991228
Ridge,266,0.820575751,0.861991228
Ridge,271,0.814665486,0.85780204
Ridge,277,0.81558124,0.858961508
SVM,5,0.70177748,0.687556357
SVM,11,0.714209858,0.69778084
SVM,17,0.687919096,0.667776515
SVM,24,0.706798347,0.691995809
SVM,27,0.685173192,0.663825726
SVM,33,0.755169851,0.738121043
SVM,40,0.754125793,0.733606581
SVM,44,0.723290559,0.700163517
SVM,49,0.76832607,0.760227367
SVM,55,0.703879581,0.688400224
SVM,61,0.725711248,0.708136967
SVM,69,0.720563791,0.694767532
SVM,72,0.744577218,0.719061249
SVM,79,0.739646753,0.713651609
SVM,85,0.7340337,0.708001552
SVM,88,0.728295165,0.699495719
SVM,94,0.723008704,0.69570095
SVM,99,0.745549321,0.71906463
SVM,105,0.746053176,0.718530854
SVM,110,0.80195864,0.781660203
SVM,116,0.786598034,0.762838321
SVM,121,0.778786235,0.755430944
SVM,127,0.772037916,0.748175548
SVM,132,0.789411686,0.767815351
SVM,138,0.76461244,0.740327145
SVM,144,0.760326971,0.734095315
SVM,149,0.757169564,0.731921264
SVM,155,0.779810342,0.75758228
SVM,160,0.786962731,0.76576633
SVM,166,0.783188747,0.76312959
SVM,171,0.786333211,0.765860563
SVM,178,0.78698777,0.766421074
SVM,184,0.785482355,0.765435718
SVM,188,0.788879061,0.767500385
SVM,193,0.803880108,0.784209846
SVM,202,0.804831545,0.785346657
SVM,205,0.809356764,0.789990733
SVM,210,0.808440177,0.793726268
SVM,217,0.809072299,0.794701619
SVM,221,0.814272124,0.800018991
SVM,229,0.81473134,0.801119179
SVM,233,0.818128041,0.804809299
SVM,238,0.818787664,0.8060278
SVM,247,0.822782826,0.810319974
SVM,249,0.814818879,0.801515752
SVM,258,0.815212305,0.802767773
SVM,260,0.81547531,0.803175907
SVM,266,0.81547531,0.803175907
SVM,271,0.812212984,0.799363851
SVM,277,0.804815961,0.791049227
Tree,5,0.601241138,0.591824797
Tree,11,0.562067085,0.553670031
Tree,17,0.58185643,0.570404617
Tree,24,0.607140819,0.602247094
Tree,27,0.605197894,0.600009451
Tree,33,0.647361114,0.6416851
Tree,40,0.647361114,0.6416851
