comb,stopword_options,run,f1,f5
8class_NB,CommEng,1,0.550474647,0.559727846
8class_NB,CommEng,2,0.603834808,0.62256691
8class_NB,CommEng,3,0.562587904,0.581733566
8class_NB,CommEng,4,0.591376983,0.597813276
8class_NB,CommEng,5,0.554506422,0.557245897
8class_NB,CommEng,6,0.668096836,0.708011583
8class_NB,CommEng,7,0.587540913,0.604905449
8class_NB,CommEng,8,0.558219022,0.582895445
8class_NB,CommEng,9,0.523995272,0.513935262
8class_NB,CommEng,10,0.56639381,0.58914575
8class_NB,CommEng,11,0.623025402,0.642646514
8class_NB,CommEng,12,0.593235904,0.612920494
8class_NB,CommEng,13,0.607028478,0.612069047
8class_NB,CommEng,14,0.610939093,0.622327567
8class_NB,CommEng,15,0.543064768,0.555312749
8class_NB,CommEng,16,0.62457692,0.660538166
8class_NB,CommEng,17,0.567247549,0.576557922
8class_NB,CommEng,18,0.587494572,0.586425104
8class_NB,CommEng,19,0.587607554,0.619113215
8class_NB,CommEng,20,0.61705746,0.636683533
8class_NB,CommEng,21,0.529423615,0.539729189
8class_NB,CommEng,22,0.573562537,0.580792317
8class_NB,CommEng,23,0.602447906,0.616126087
8class_NB,CommEng,24,0.621741148,0.638806925
8class_NB,CommEng,25,0.616519581,0.622285937
8class_NB,CommEng,26,0.548747495,0.566557499
8class_NB,CommEng,27,0.611673564,0.629208722
8class_NB,CommEng,28,0.603353309,0.627737574
8class_NB,CommEng,29,0.674122089,0.693553817
8class_NB,CommEng,30,0.648166318,0.669502099
8class_NB,CommEng,31,0.623074247,0.65598117
8class_NB,CommEng,32,0.611114649,0.625005921
8class_NB,CommEng,33,0.598248643,0.605267929
8class_NB,CommEng,34,0.587838242,0.589845005
8class_NB,CommEng,35,0.594846263,0.611479683
8class_NB,CommEng,36,0.58474059,0.593801653
8class_NB,CommEng,37,0.563439461,0.568029293
8class_NB,CommEng,38,0.533712181,0.566380774
8class_NB,CommEng,39,0.551454741,0.565344675
8class_NB,CommEng,40,0.695522631,0.717384013
8class_NB,CommEng,41,0.600010961,0.628144221
8class_NB,CommEng,42,0.597792823,0.624264266
8class_NB,CommEng,43,0.584913905,0.58372586
8class_NB,CommEng,44,0.550283416,0.582715519
8class_NB,CommEng,45,0.604693955,0.625723674
8class_NB,CommEng,46,0.570412764,0.589173116
8class_NB,CommEng,47,0.613098979,0.637604443
8class_NB,CommEng,48,0.530554368,0.531030986
8class_NB,CommEng,49,0.535416501,0.535237989
8class_NB,CommEng,50,0.612947481,0.644531602
8class_NB,Threshold,1,0.610335234,0.625313533
8class_NB,Threshold,2,0.663985523,0.684678949
8class_NB,Threshold,3,0.577226046,0.585279101
8class_NB,Threshold,4,0.683914225,0.690875276
8class_NB,Threshold,5,0.608294931,0.620300752
8class_NB,Threshold,6,0.711686697,0.754658112
8class_NB,Threshold,7,0.665125094,0.692650065
8class_NB,Threshold,8,0.588290372,0.589124883
8class_NB,Threshold,9,0.671678145,0.689424499
8class_NB,Threshold,10,0.599231532,0.614776195
8class_NB,Threshold,11,0.691928309,0.724233497
8class_NB,Threshold,12,0.639302887,0.647437278
8class_NB,Threshold,13,0.66147238,0.673953753
8class_NB,Threshold,14,0.628025966,0.641259919
8class_NB,Threshold,15,0.597862823,0.612474542
8class_NB,Threshold,16,0.670354252,0.701771298
8class_NB,Threshold,17,0.637747484,0.641158218
8class_NB,Threshold,18,0.622338835,0.628771848
8class_NB,Threshold,19,0.630002325,0.660852667
8class_NB,Threshold,20,0.603834808,0.62256691
8class_NB,Threshold,21,0.610377297,0.622975158
8class_NB,Threshold,22,0.685986159,0.709556192
8class_NB,Threshold,23,0.680854847,0.693539551
8class_NB,Threshold,24,0.666397185,0.699363172
8class_NB,Threshold,25,0.659429599,0.684546036
8class_NB,Threshold,26,0.595995924,0.621135276
8class_NB,Threshold,27,0.639085762,0.639681553
8class_NB,Threshold,28,0.654646366,0.674656589
8class_NB,Threshold,29,0.661240575,0.681685004
8class_NB,Threshold,30,0.729072733,0.751001802
8class_NB,Threshold,31,0.644829894,0.672408271
8class_NB,Threshold,32,0.675514215,0.715580029
8class_NB,Threshold,33,0.675946447,0.700892207
8class_NB,Threshold,34,0.630916442,0.628072341
8class_NB,Threshold,35,0.644584758,0.665923752
8class_NB,Threshold,36,0.680267364,0.705740473
8class_NB,Threshold,37,0.660827068,0.691393958
8class_NB,Threshold,38,0.557302531,0.561777877
8class_NB,Threshold,39,0.591639258,0.617992073
8class_NB,Threshold,40,0.646741146,0.673080417
8class_NB,Threshold,41,0.684230833,0.710841178
8class_NB,Threshold,42,0.624092971,0.638691636
8class_NB,Threshold,43,0.645789037,0.650495022
8class_NB,Threshold,44,0.572180581,0.584756646
8class_NB,Threshold,45,0.63875564,0.65768045
8class_NB,Threshold,46,0.617757921,0.617698403
8class_NB,Threshold,47,0.716565768,0.752079482
8class_NB,Threshold,48,0.590867558,0.602385838
8class_NB,Threshold,49,0.597920814,0.602478381
8class_NB,Threshold,50,0.667169595,0.680265618
8class_NB,SelfDefined,1,0.705390892,0.735219626
8class_NB,SelfDefined,2,0.698501456,0.723322136
8class_NB,SelfDefined,3,0.617256318,0.632884217
8class_NB,SelfDefined,4,0.706365813,0.710978537
8class_NB,SelfDefined,5,0.666734573,0.683549151
8class_NB,SelfDefined,6,0.719451513,0.750817841
8class_NB,SelfDefined,7,0.726465077,0.763119672
8class_NB,SelfDefined,8,0.639535914,0.650915843
8class_NB,SelfDefined,9,0.693304721,0.699428472
8class_NB,SelfDefined,10,0.670773467,0.686280922
8class_NB,SelfDefined,11,0.720446049,0.752552481
8class_NB,SelfDefined,12,0.670164648,0.679759118
8class_NB,SelfDefined,13,0.693588253,0.712444383
8class_NB,SelfDefined,14,0.707574486,0.728673293
8class_NB,SelfDefined,15,0.628656864,0.648876822
8class_NB,SelfDefined,16,0.707427298,0.745151774
8class_NB,SelfDefined,17,0.584168206,0.576384463
8class_NB,SelfDefined,18,0.654559132,0.659536388
8class_NB,SelfDefined,19,0.688848551,0.704477949
8class_NB,SelfDefined,20,0.668171988,0.676484983
8class_NB,SelfDefined,21,0.604411385,0.607823096
8class_NB,SelfDefined,22,0.654341015,0.651968781
8class_NB,SelfDefined,23,0.694151909,0.697104747
8class_NB,SelfDefined,24,0.659977784,0.668383417
8class_NB,SelfDefined,25,0.704918362,0.725831103
8class_NB,SelfDefined,26,0.650626657,0.689100277
8class_NB,SelfDefined,27,0.648308252,0.630182098
8class_NB,SelfDefined,28,0.712558136,0.738882358
8class_NB,SelfDefined,29,0.69635592,0.723078845
8class_NB,SelfDefined,30,0.727362401,0.748102584
