comb,stopword_options,run,f1
8class_NB,NoStem.,1,0.719740634
8class_NB,NoStem.,2,0.702705689
8class_NB,NoStem.,3,0.588947425
8class_NB,NoStem.,4,0.722976239
8class_NB,NoStem.,5,0.670001689
8class_NB,NoStem.,6,0.709987039
8class_NB,NoStem.,7,0.739828109
8class_NB,NoStem.,8,0.647017605
8class_NB,NoStem.,9,0.653610413
8class_NB,NoStem.,10,0.660837881
8class_NB,NoStem.,11,0.726549024
8class_NB,NoStem.,12,0.662601209
8class_NB,NoStem.,13,0.71437474
8class_NB,NoStem.,14,0.697529926
8class_NB,NoStem.,15,0.66513091
8class_NB,NoStem.,16,0.693037795
8class_NB,NoStem.,17,0.568626425
8class_NB,NoStem.,18,0.673459621
8class_NB,NoStem.,19,0.677016406
8class_NB,NoStem.,20,0.68246357
8class_NB,NoStem.,21,0.60134385
8class_NB,NoStem.,22,0.703743509
8class_NB,NoStem.,23,0.71998493
8class_NB,NoStem.,24,0.670773467
8class_NB,NoStem.,25,0.704918362
8class_NB,NoStem.,26,0.651799181
8class_NB,NoStem.,27,0.648308252
8class_NB,NoStem.,28,0.712558136
8class_NB,NoStem.,29,0.744373757
8class_NB,NoStem.,30,0.751918942
8class_NB,NoStem.,31,0.675222496
8class_NB,NoStem.,32,0.735201446
8class_NB,NoStem.,33,0.726378754
8class_NB,NoStem.,34,0.721184254
8class_NB,NoStem.,35,0.709292803
8class_NB,NoStem.,36,0.707001395
8class_NB,NoStem.,37,0.688630491
8class_NB,NoStem.,38,0.638142659
8class_NB,NoStem.,39,0.702974195
8class_NB,NoStem.,40,0.72942071
8class_NB,NoStem.,41,0.708768995
8class_NB,NoStem.,42,0.746481113
8class_NB,NoStem.,43,0.68917249
8class_NB,NoStem.,44,0.646221376
8class_NB,NoStem.,45,0.664787446
8class_NB,NoStem.,46,0.640153049
8class_NB,NoStem.,47,0.733546381
8class_NB,NoStem.,48,0.681931309
8class_NB,NoStem.,49,0.671639462
8class_NB,NoStem.,50,0.742053999
8class_NB,Stemming,1,0.706404148
8class_NB,Stemming,2,0.741845714
8class_NB,Stemming,3,0.667355424
8class_NB,Stemming,4,0.714582218
8class_NB,Stemming,5,0.716714108
8class_NB,Stemming,6,0.765607681
8class_NB,Stemming,7,0.73625
8class_NB,Stemming,8,0.68090035
8class_NB,Stemming,9,0.684680574
8class_NB,Stemming,10,0.664052776
8class_NB,Stemming,11,0.741216581
8class_NB,Stemming,12,0.712257863
8class_NB,Stemming,13,0.725552469
8class_NB,Stemming,14,0.707589442
8class_NB,Stemming,15,0.693193195
8class_NB,Stemming,16,0.705933009
8class_NB,Stemming,17,0.639302893
8class_NB,Stemming,18,0.68487328
8class_NB,Stemming,19,0.735071813
8class_NB,Stemming,20,0.719573292
8class_NB,Stemming,21,0.66025872
8class_NB,Stemming,22,0.725381528
8class_NB,Stemming,23,0.693391351
8class_NB,Stemming,24,0.728365452
8class_NB,Stemming,25,0.711799348
8class_NB,Stemming,26,0.716281089
8class_NB,Stemming,27,0.704661008
8class_NB,Stemming,28,0.703314069
8class_NB,Stemming,29,0.743826246
8class_NB,Stemming,30,0.754903853
8class_NB,Stemming,31,0.675424048
8class_NB,Stemming,32,0.761465287
8class_NB,Stemming,33,0.77044832
8class_NB,Stemming,34,0.707440351
8class_NB,Stemming,35,0.73600261
8class_NB,Stemming,36,0.743347944
8class_NB,Stemming,37,0.71864587
8class_NB,Stemming,38,0.674838305
8class_NB,Stemming,39,0.700829032
8class_NB,Stemming,40,0.721981403
8class_NB,Stemming,41,0.752240105
8class_NB,Stemming,42,0.751980832
8class_NB,Stemming,43,0.736887453
8class_NB,Stemming,44,0.645571464
8class_NB,Stemming,45,0.705930183
8class_NB,Stemming,46,0.645295637
8class_NB,Stemming,47,0.733041736
8class_NB,Stemming,48,0.695515092
8class_NB,Stemming,49,0.687631817
8class_NB,Stemming,50,0.73135436
8class_NB,Lemmat.,1,0.694929397
