comb,Options,run,f1_no_feature_selection,f1
8class_NB,unigram,1,0.719740634,0.719740634
8class_NB,unigram,2,0.702705689,0.702705689
8class_NB,unigram,3,0.588947425,0.588947425
8class_NB,unigram,4,0.722976239,0.722976239
8class_NB,unigram,5,0.670001689,0.670001689
8class_NB,unigram,6,0.709987039,0.709987039
8class_NB,unigram,7,0.739828109,0.739828109
8class_NB,unigram,8,0.647017605,0.647017605
8class_NB,unigram,9,0.653610413,0.653610413
8class_NB,unigram,10,0.660837881,0.660837881
8class_NB,unigram,11,0.726549024,0.726549024
8class_NB,unigram,12,0.662601209,0.662601209
8class_NB,unigram,13,0.71437474,0.71437474
8class_NB,unigram,14,0.697529926,0.697529926
8class_NB,unigram,15,0.66513091,0.66513091
8class_NB,unigram,16,0.693037795,0.693037795
8class_NB,unigram,17,0.568626425,0.568626425
8class_NB,unigram,18,0.673459621,0.673459621
8class_NB,unigram,19,0.677016406,0.677016406
8class_NB,unigram,20,0.68246357,0.68246357
8class_NB,unigram,21,0.60134385,0.60134385
8class_NB,unigram,22,0.703743509,0.703743509
8class_NB,unigram,23,0.71998493,0.71998493
8class_NB,unigram,24,0.670773467,0.670773467
8class_NB,unigram,25,0.704918362,0.704918362
8class_NB,unigram,26,0.651799181,0.651799181
8class_NB,unigram,27,0.648308252,0.648308252
8class_NB,unigram,28,0.712558136,0.712558136
8class_NB,unigram,29,0.744373757,0.744373757
8class_NB,unigram,30,0.751918942,0.751918942
8class_NB,unigram,31,0.675222496,0.675222496
8class_NB,unigram,32,0.735201446,0.735201446
8class_NB,unigram,33,0.726378754,0.726378754
8class_NB,unigram,34,0.721184254,0.721184254
8class_NB,unigram,35,0.709292803,0.709292803
8class_NB,unigram,36,0.707001395,0.707001395
8class_NB,unigram,37,0.688630491,0.688630491
8class_NB,unigram,38,0.638142659,0.638142659
8class_NB,unigram,39,0.702974195,0.702974195
8class_NB,unigram,40,0.72942071,0.72942071
8class_NB,unigram,41,0.708768995,0.708768995
8class_NB,unigram,42,0.746481113,0.746481113
8class_NB,unigram,43,0.68917249,0.68917249
8class_NB,unigram,44,0.646221376,0.646221376
8class_NB,unigram,45,0.664787446,0.664787446
8class_NB,unigram,46,0.640153049,0.640153049
8class_NB,unigram,47,0.733546381,0.733546381
8class_NB,unigram,48,0.681931309,0.681931309
8class_NB,unigram,49,0.671639462,0.671639462
8class_NB,unigram,50,0.742053999,0.742053999
8class_NB,bigram,1,0.657092388,0.740772614
8class_NB,bigram,2,0.668143843,0.748656219
8class_NB,bigram,3,0.605884776,0.798435543
8class_NB,bigram,4,0.656336996,0.779299843
8class_NB,bigram,5,0.626477365,0.747526948
8class_NB,bigram,6,0.661385851,0.762580264
8class_NB,bigram,7,0.697314796,0.770403128
8class_NB,bigram,8,0.598191392,0.694841213
8class_NB,bigram,9,0.62024666,0.749753382
8class_NB,bigram,10,0.628460295,0.742483211
8class_NB,bigram,11,0.718117733,0.781966834
8class_NB,bigram,12,0.626785149,0.669880741
8class_NB,bigram,13,0.667565965,0.784918831
8class_NB,bigram,14,0.628553408,0.813516725
8class_NB,bigram,15,0.634868497,0.77702751
8class_NB,bigram,16,0.643955565,0.770342475
8class_NB,bigram,17,0.664521824,0.680203988
8class_NB,bigram,18,0.63777758,0.716994515
8class_NB,bigram,19,0.660307584,0.719078988
8class_NB,bigram,20,0.654586953,0.814635036
8class_NB,bigram,21,0.597769956,0.72582769
8class_NB,bigram,22,0.6571407,0.763359324
8class_NB,bigram,23,0.675493131,0.778811633
8class_NB,bigram,24,0.634185704,0.782785832
8class_NB,bigram,25,0.693860078,0.726034804
8class_NB,bigram,26,0.665192425,0.732493282
8class_NB,bigram,27,0.636266235,0.74597771
8class_NB,bigram,28,0.678285985,0.736506014
8class_NB,bigram,29,0.640929091,0.789844619
8class_NB,bigram,30,0.691639155,0.80125015
8class_NB,bigram,31,0.63921471,0.739718644
8class_NB,bigram,32,0.677282758,0.81102282
8class_NB,bigram,33,0.627433144,0.77169302
8class_NB,bigram,34,0.64644896,0.78461638
8class_NB,bigram,35,0.650293274,0.765470869
8class_NB,bigram,36,0.676298084,0.731073679
8class_NB,bigram,37,0.604934522,0.734425319
8class_NB,bigram,38,0.698455598,0.767001148
8class_NB,bigram,39,0.618214457,0.771546749
8class_NB,bigram,40,0.657789024,0.741632817
8class_NB,bigram,41,0.659264264,0.772814893
8class_NB,bigram,42,0.686438161,0.783923826
8class_NB,bigram,43,0.648841355,0.789436207
8class_NB,bigram,44,0.623762675,0.761807732
8class_NB,bigram,45,0.66316951,0.737754279
8class_NB,bigram,46,0.641541315,0.757682
8class_NB,bigram,47,0.709905438,0.774401716
8class_NB,bigram,48,0.610700771,0.756151183
8class_NB,bigram,49,0.643763806,0.743809448
8class_NB,bigram,50,0.693351226,0.794215309
8class_NB,neg_bi.,1,0.730950449,0.717268316
8class_NB,neg_bi.,2,0.723957276,0.721384092
8class_NB,neg_bi.,3,0.654018217,0.685025743
8class_NB,neg_bi.,4,0.731311155,0.728987423
8class_NB,neg_bi.,5,0.70634119,0.703376568
8class_NB,neg_bi.,6,0.738727594,0.752485202
8class_NB,neg_bi.,7,0.756837742,0.768394876
8class_NB,neg_bi.,8,0.667218895,0.667628593
8class_NB,neg_bi.,9,0.675605008,0.681412495
8class_NB,neg_bi.,10,0.694864832,0.718429459
8class_NB,neg_bi.,11,0.760385222,0.774948161
8class_NB,neg_bi.,12,0.675239774,0.688971782
8class_NB,neg_bi.,13,0.725472195,0.764876324
8class_NB,neg_bi.,14,0.699844281,0.744967705
8class_NB,neg_bi.,15,0.648410518,0.677366324
8class_NB,neg_bi.,16,0.725112236,0.769624782
8class_NB,neg_bi.,17,0.61890429,0.68184199
8class_NB,neg_bi.,18,0.693806258,0.709228147
8class_NB,neg_bi.,19,0.698819653,0.706140351
8class_NB,neg_bi.,20,0.685875356,0.712189203
8class_NB,neg_bi.,21,0.647645294,0.698503923
8class_NB,neg_bi.,22,0.731379831,0.758963549
8class_NB,neg_bi.,23,0.733469813,0.701587077
8class_NB,neg_bi.,24,0.704023127,0.74737001
8class_NB,neg_bi.,25,0.73808757,0.732953691
8class_NB,neg_bi.,26,0.662449969,0.668943823
8class_NB,neg_bi.,27,0.664036863,0.70765349
8class_NB,neg_bi.,28,0.722641866,0.754587776
8class_NB,neg_bi.,29,0.77789081,0.769260948
8class_NB,neg_bi.,30,0.764403537,0.762933912
8class_NB,neg_bi.,31,0.718333412,0.737352591
8class_NB,neg_bi.,32,0.759315693,0.7654811
8class_NB,neg_bi.,33,0.719625142,0.744011094
8class_NB,neg_bi.,34,0.722937248,0.75297572
8class_NB,neg_bi.,35,0.699391719,0.74090718
8class_NB,neg_bi.,36,0.715441133,0.808834088
8class_NB,neg_bi.,37,0.684388552,0.682245431
8class_NB,neg_bi.,38,0.719406566,0.723865031
8class_NB,neg_bi.,39,0.716491207,0.748650888
8class_NB,neg_bi.,40,0.748606686,0.752752225
8class_NB,neg_bi.,41,0.735611352,0.722407005
8class_NB,neg_bi.,42,0.766122818,0.761202627
8class_NB,neg_bi.,43,0.719066342,0.764465537
8class_NB,neg_bi.,44,0.660783121,0.700924092
8class_NB,neg_bi.,45,0.692396642,0.716196794
8class_NB,neg_bi.,46,0.681283511,0.702423307
8class_NB,neg_bi.,47,0.745900153,0.734534864
8class_NB,neg_bi.,48,0.687309812,0.698412698
8class_NB,neg_bi.,49,0.668505338,0.711126699
8class_NB,neg_bi.,50,0.753352426,0.76942791
8class_NB,trigram,1,0.577387066,0.706979573
8class_NB,trigram,2,0.597660626,0.631534975
8class_NB,trigram,3,0.620217596,0.716128419
8class_NB,trigram,4,0.616008757,0.653714372
8class_NB,trigram,5,0.617299537,0.685252531
8class_NB,trigram,6,0.58292416,0.75042593
8class_NB,trigram,7,0.600224972,0.694800747
8class_NB,trigram,8,0.551089487,0.703228874
8class_NB,trigram,9,0.562194661,0.707720579
8class_NB,trigram,10,0.605363249,0.675362538
8class_NB,trigram,11,0.648616811,0.669269113
8class_NB,trigram,12,0.617215411,0.679605764
8class_NB,trigram,13,0.588951869,0.684691808
8class_NB,trigram,14,0.618961973,0.662572494
8class_NB,trigram,15,0.559722539,0.682359779
8class_NB,trigram,16,0.582879674,0.731989825
8class_NB,trigram,17,0.576207661,0.702342046
8class_NB,trigram,18,0.553173465,0.665271278
8class_NB,trigram,19,0.635036236,0.683972807
8class_NB,trigram,20,0.622111529,0.69002896
8class_NB,trigram,21,0.512444002,0.739298544
8class_NB,trigram,22,0.576585665,0.734179058
8class_NB,trigram,23,0.615667857,0.691770838
8class_NB,trigram,24,0.607871531,0.702006817
8class_NB,trigram,25,0.588406982,0.69307991
8class_NB,trigram,26,0.586891933,0.679773109
8class_NB,trigram,27,0.593816444,0.671905184
8class_NB,trigram,28,0.606742633,0.624117236
8class_NB,trigram,29,0.577478097,0.670439414
8class_NB,trigram,30,0.620835945,0.706963033
8class_NB,trigram,31,0.607034053,0.658353174
8class_NB,trigram,32,0.604098539,0.68365868
8class_NB,trigram,33,0.598634445,0.687855824
8class_NB,trigram,34,0.592855709,0.743773333
8class_NB,trigram,35,0.60912177,0.676770989
8class_NB,trigram,36,0.624194861,0.666468195
8class_NB,trigram,37,0.528958216,0.673309597
8class_NB,trigram,38,0.60804725,0.692005856
8class_NB,trigram,39,0.597664016,0.688101415
8class_NB,trigram,40,0.659038511,0.74569152
8class_NB,trigram,41,0.648166318,0.680797429
8class_NB,trigram,42,0.635784346,0.638360298
8class_NB,trigram,43,0.608553964,0.656029012
8class_NB,trigram,44,0.57105322,0.679247196
8class_NB,trigram,45,0.559634786,0.668349334
8class_NB,trigram,46,0.596201692,0.662101688
8class_NB,trigram,47,0.626033151,0.763980781
8class_NB,trigram,48,0.542824527,0.72321233
