comb,Options,run,f1
8class_NB,Baseline,1,0.719740634
8class_NB,Baseline,2,0.702705689
8class_NB,Baseline,3,0.588947425
8class_NB,Baseline,4,0.722976239
8class_NB,Baseline,5,0.670001689
8class_NB,Baseline,6,0.709987039
8class_NB,Baseline,7,0.739828109
8class_NB,Baseline,8,0.647017605
8class_NB,Baseline,9,0.653610413
8class_NB,Baseline,10,0.660837881
8class_NB,Baseline,11,0.726549024
8class_NB,Baseline,12,0.662601209
8class_NB,Baseline,13,0.71437474
8class_NB,Baseline,14,0.697529926
8class_NB,Baseline,15,0.66513091
8class_NB,Baseline,16,0.693037795
8class_NB,Baseline,17,0.568626425
8class_NB,Baseline,18,0.673459621
8class_NB,Baseline,19,0.677016406
8class_NB,Baseline,20,0.68246357
8class_NB,Baseline,21,0.60134385
8class_NB,Baseline,22,0.703743509
8class_NB,Baseline,23,0.71998493
8class_NB,Baseline,24,0.670773467
8class_NB,Baseline,25,0.704918362
8class_NB,Baseline,26,0.651799181
8class_NB,Baseline,27,0.648308252
8class_NB,Baseline,28,0.712558136
8class_NB,Baseline,29,0.744373757
8class_NB,Baseline,30,0.751918942
8class_NB,Baseline,31,0.675222496
8class_NB,Baseline,32,0.735201446
8class_NB,Baseline,33,0.726378754
8class_NB,Baseline,34,0.721184254
8class_NB,Baseline,35,0.709292803
8class_NB,Baseline,36,0.707001395
8class_NB,Baseline,37,0.688630491
8class_NB,Baseline,38,0.638142659
8class_NB,Baseline,39,0.702974195
8class_NB,Baseline,40,0.72942071
8class_NB,Baseline,41,0.708768995
8class_NB,Baseline,42,0.746481113
8class_NB,Baseline,43,0.68917249
8class_NB,Baseline,44,0.646221376
8class_NB,Baseline,45,0.664787446
8class_NB,Baseline,46,0.640153049
8class_NB,Baseline,47,0.733546381
8class_NB,Baseline,48,0.681931309
8class_NB,Baseline,49,0.671639462
8class_NB,Baseline,50,0.742053999
8class_NB,POS,1,0.61793956
8class_NB,POS,2,0.591296605
8class_NB,POS,3,0.584481508
8class_NB,POS,4,0.596918651
8class_NB,POS,5,0.573955095
8class_NB,POS,6,0.645725425
8class_NB,POS,7,0.616227729
8class_NB,POS,8,0.564144729
8class_NB,POS,9,0.511585394
8class_NB,POS,10,0.595058043
8class_NB,POS,11,0.628048981
8class_NB,POS,12,0.584230434
8class_NB,POS,13,0.62155102
8class_NB,POS,14,0.61420385
8class_NB,POS,15,0.588841874
8class_NB,POS,16,0.619917006
8class_NB,POS,17,0.623800454
8class_NB,POS,18,0.598056631
8class_NB,POS,19,0.626042111
8class_NB,POS,20,0.612578012
8class_NB,POS,21,0.559555454
8class_NB,POS,22,0.604703318
8class_NB,POS,23,0.619934298
8class_NB,POS,24,0.628972099
8class_NB,POS,25,0.561728395
8class_NB,POS,26,0.54143272
8class_NB,POS,27,0.644155311
8class_NB,POS,28,0.662927291
8class_NB,POS,29,0.565926056
8class_NB,POS,30,0.677368421
8class_NB,POS,31,0.60191014
8class_NB,POS,32,0.59419465
