Sell/Rent,Sharing,Product/Service,Consent,Exceptions,Subsidiary,Receiving party,Company,,,,
,,,,,,,,,,,
Not Sell,Not share,,,,,Third parties,Jerlando??s Pizza,,,notsellnotshare,"We do not, under any circumstances, share, sell or rent your information to anyone. "
Not Sell,Not share,,,,,Third parties,VingDirect,,,notsellnotshare,"We do not rent, sell, or share any of this information with third party companies."
Not Sell,Not share,,,,,Third parties,"Sterndrive Engineering, Inc. (SEI)",,,notsellnotshare,"We do not rent, sell or share any of your personal information with companies that are not affiliated with SEI."
Not Sell,Not share,,,,,Third parties,Viber Media,,,notsellnotshare,"We do not rent, sell, or share any information about the user with any third-parties. "
,,,,,,,,,,,
Not Sell,N/A,,,,,Third parties,Ning,,,notsell,We do not sell or rent email addresses and other Personal Information. 
Not Sell,N/A,,,,,Third parties,SurveyMonkey,,,notsell,SurveyMonkey does not sell your survey responses.
Not Sell,N/A,,,,,Third parties,Best Buy,,,notsell,"Best Buy does not sell, rent or trade your personal information to third parties"
Not Sell,N/A,,,,,Third parties,Amazon,,,notsell,"Information about our customers is an important part of our business, and we are not in the business of selling it to others. "
Not Sell,N/A,,,,,Third parties,One-class SVM 1 par2,,,notsell,We do not sell your personal information to third parties.
Not Sell,N/A,,,,,Third parties,One-class SVM 2 par1,,,notsell,"Information about our customers is an important part of our business, and we are not in the business of selling personally identifiable information to unaffiliated third parties for their commercial use."
,,,,,,,,,,,
N/A,Not share for marketing,,Y,,,Third parties,Sony pictures,,,notsharemarketing,SPE does not share your Personal Information with third parties for their marketing purposes unless you opt-in to such sharing at the time you provide your Personal Information
Not Sell,Not share for marketing,,,,,Third parties,Yelp,,,notsharemarketing,"We do not rent, share, sell or trade personally identifiable information with third parties for their direct marketing purposes"
Not Sell,Not share for marketing,,,,,Third parties,ClickBank,,,notsharemarketing,"Outside of the vendor who participated in your transaction, we will not sell, rent, share, or trade your personal information to third parties for promotional purposes"
Not Sell,Not share for marketing,,,,,Third parties,T-mobile,,,notsharemarketing,"We do not sell, rent, or otherwise provide your personal information to unaffiliated third-parties (parties outside the T-Mobile corporate family) to market their services or products to you. "
N/A,Not share for marketing,,Y,,,Third parties,OWN,,,notsharemarketing,We do not share your Personal Information with third parties for those third parties marketing purposes unless you consent to such sharing at the time you provide your Personal Information.
,,,,,,,,,,,
N/A,Limited sharing,,Y,,,Third parties,Blizzard,,,shareonlyconsent,"As a general rule, Blizzard will not forward your information to a third party without your permission."
N/A,Limited sharing,,Y,,,Third parties,EA,,,shareonlyconsent,EA will never share your personal information with third parties without your consent.
Not Sell,Limited sharing,,Y,,,Third parties,RealNetworks,,,shareonlyconsent,"RealNetworks does not sell, rent, or share your personal information to a third party unless you consent to provide such information to a third party partner or content service"
Not Sell,Limited sharing,,Y,,,Third parties,Atari,,,shareonlyconsent,"We don't share, sell, or rent your personal information to third parties without your consent."
Not Sell,Limited sharing,,Y,,,Third parties,MSI Lab,,,shareonlyconsent,"We will never rent, sell, or share your information with anyone without your express consent"
Not Sell,Limited sharing,,Y,,,Third parties,Legal Heat,,,shareonlyconsent,"We do not share, sell or rent any personal information to any third parties without your explicit consent."
Not Sell,Limited sharing,,Y,,,Third parties,Guidetechnologies,,,shareonlyconsent,"We will never rent, sell, or share your information with anyone without your express consent."
,,,,,,,,,,,
,,,,,,,,,,,
Not Sell,Limited sharing,Y,Y,Y,,Third parties,WRAL.com,,,shareforexceptionandconsent,"Information about our customers is an important part of our business, and we are not in the business of selling it to others. WRAL.com will not rent, sell, or share your personal information with unaffiliated companies or people except (1) as necessary to provide you with products or services you've requested, (2) when we have your permission, or (3) as follows:"
N/A,Limited sharing,,Y,Y,,Third parties,Microsoft,,,shareforexceptionandconsent,"Except as described in this statement, we will not disclose your personal information outside of Microsoft and its controlled subsidiaries and affiliates without your consent. "
Not Sell,Limited sharing,Y,Y,Y,,Third parties,Yahoo!,,,shareforexceptionandconsent,"Yahoo! does not rent, sell, or share personal information about you with other people or non-affiliated companies except to provide products or services you've requested, when we have your permission, or under the following circumstances"
Not Sell,Limited sharing,Y,Y,Y,,Third parties,Kaltura,,,shareforexceptionandconsent,"Kaltura does not rent, sell, or share personal information about you with other people or non-affiliated companies except to provide products or services you've requested, when we have your permission, or under the following circumstances:"
Not Sell,Limited sharing,,Y,Y,,Third parties,EMC,,,shareforexceptionandconsent,"Unless permitted by relevant laws, or you have provided consent, EMC will not share, sell, trade or lease your personal information to others, except as provided in this Privacy Statement"
N/A,Limited sharing,,Y,Y,,Third parties,Fox,,,shareforexceptionandconsent,We only share your non-public personal information with non-affiliated third parties when we believe sharing is permitted by you or authorized by this Privacy Policy. 
